,"County, State",GEO ID,FSRR2010,State,County,Name,Broadband (%)
187,"Ocean County, New Jersey",0500000US34029,63.5,34,029,"Ocean County, New Jersey",0.77760762
188,"Passaic County, New Jersey",0500000US34031,67.6,34,031,"Passaic County, New Jersey",0.63212276
189,"Somerset County, New Jersey",0500000US34035,75.1,34,035,"Somerset County, New Jersey",0.81737059
190,"Sussex County, New Jersey",0500000US34037,65.6,34,037,"Sussex County, New Jersey",0.81277579
191,"Union County, New Jersey",0500000US34039,70,34,039,"Union County, New Jersey",0.66327769
192,"Warren County, New Jersey",0500000US34041,70.4,34,041,"Warren County, New Jersey",0.7808646
193,"Bernalillo County, New Mexico",0500000US35001,67.7,35,001,"Bernalillo County, New Mexico",0.70667052
194,"Doña Ana County, New Mexico",0500000US35013,60.1,35,013,"Dona Ana County, New Mexico",0.58792114
195,"San Juan County, New Mexico",0500000US35045,59.4,35,045,"San Juan County, New Mexico",0.47817752
196,"Santa Fe County, New Mexico",0500000US35049,60.7,35,049,"Santa Fe County, New Mexico",0.71425092
197,"Bronx County, New York",0500000US36005,64,36,005,"Bronx County, New York",0.573062
198,"Chautauqua County, New York",0500000US36013,60.8,36,013,"Chautauqua County, New York",0.69994587
199,"Dutchess County, New York",0500000US36027,65.7,36,027,"Dutchess County, New York",0.8541261
200,"Kings County, New York",0500000US36047,57.2,36,047,"Kings County, New York",0.70495629
201,"Monroe County, New York",0500000US36055,72.7,36,055,"Monroe County, New York",0.76893997
202,"Nassau County, New York",0500000US36059,70.4,36,059,"Nassau County, New York",0.86350846
203,"New York County, New York",0500000US36061,66.2,36,061,"New York County, New York",0.71196979
204,"Onondaga County, New York",0500000US36067,71.1,36,067,"Onondaga County, New York",0.65231466
205,"Ontario County, New York",0500000US36069,70.1,36,069,"Ontario County, New York",0.79944289
206,"Orange County, New York",0500000US36071,61.9,36,071,"Orange County, New York",0.79547161
207,"Oswego County, New York",0500000US36075,63.5,36,075,"Oswego County, New York",0.67509842
208,"Queens County, New York",0500000US36081,60.8,36,081,"Queens County, New York",0.76466131
