"County, State",GEO ID,FSRR2010,State,County
"Pike County, Georgia",0500000US13231,58.8,13,231
"Polk County, Georgia",0500000US13233,62,13,233
"Pulaski County, Georgia",0500000US13235,39.1,13,235
"Putnam County, Georgia",0500000US13237,49.9,13,237
"Quitman County, Georgia",0500000US13239,28.5,13,239
"Rabun County, Georgia",0500000US13241,32.1,13,241
"Randolph County, Georgia",0500000US13243,39.6,13,243
"Richmond County, Georgia",0500000US13245,63.5,13,245
"Rockdale County, Georgia",0500000US13247,63.6,13,247
"Schley County, Georgia",0500000US13249,41.8,13,249
"Screven County, Georgia",0500000US13251,55,13,251
"Seminole County, Georgia",0500000US13253,47.5,13,253
"Spalding County, Georgia",0500000US13255,64.8,13,255
"Stephens County, Georgia",0500000US13257,59.9,13,257
"Stewart County, Georgia",0500000US13259,49,13,259
"Sumter County, Georgia",0500000US13261,58.3,13,261
"Talbot County, Georgia",0500000US13263,48.6,13,263
"Taliaferro County, Georgia",0500000US13265,50.9,13,265
"Tattnall County, Georgia",0500000US13267,48.2,13,267
"Taylor County, Georgia",0500000US13269,52.3,13,269
"Telfair County, Georgia",0500000US13271,35.7,13,271
